n_significant_factors	summed_p.adj	n_factors
5	0.0857017840760549	10_factors
4	0.0380178639522429	8_factors
4	0.0448351845212729	9_factors
4	0.0517968683217103	15_factors
4	0.0739597393961588	18_factors
4	0.0782682007785855	17_factors
4	0.0802631182052976	16_factors
3	0.00126559213846704	5_factors
3	0.00243383394398102	6_factors
3	0.0136195117434465	11_factors
3	0.0338399620301232	14_factors
3	0.0400868842932342	13_factors
3	0.0427846942397141	7_factors
2	0.00020052151034048	3_factors
2	0.000307830886288576	4_factors
2	0.00422502513082162	12_factors
#ONLY THE TOP 3 MOFA MODELS ARE RETAINED#
