weights	features	abs_weight
-0.501851011496614	IGSF3	0.501851011496614
-0.506541227588753	CMTM3	0.506541227588753
-0.514994731128981	SH3D21	0.514994731128981
-0.519740775894496	PAX9	0.519740775894496
-0.528911834566019	PSD3	0.528911834566019
-0.537616439235701	DMD	0.537616439235701
-0.537740247152834	KLK2	0.537740247152834
-0.539839993615195	GSDME	0.539839993615195
-0.539937773731567	ZBTB34	0.539937773731567
-0.540863966946356	FARP1	0.540863966946356
-0.541036632946489	TPST2	0.541036632946489
-0.5415928732684	FER1L4	0.5415928732684
-0.54832716702545	PFKP	0.54832716702545
-0.553042355737237	SPART	0.553042355737237
-0.560661786571266	LPL	0.560661786571266
-0.586390491449644	KANK2	0.586390491449644
-0.590729843834474	MYLK	0.590729843834474
-0.595411650452903	NPTX1	0.595411650452903
-0.606946698517362	ATOX1	0.606946698517362
-0.616455862797294	WSB2	0.616455862797294
-0.619285155085404	TGFBR3	0.619285155085404
-0.61989102089476	GAB1	0.61989102089476
-0.62481519941708	LMO7	0.62481519941708
-0.631527941899298	DGKH	0.631527941899298
-0.642563537570779	AKAP12	0.642563537570779
-0.642584193540424	COL19A1	0.642584193540424
-0.659098161644282	SEPTIN10	0.659098161644282
-0.682631066603927	KSR2	0.682631066603927
-0.698866850596459	MSI2	0.698866850596459
-0.753795038807003	ZAP70	0.753795038807003
-0.76621042767066	CRY1	0.76621042767066
-1	VSIG10	1
