ID	CONDITION
H005	mutated
H011	mutated
H016	mutated
H020	mutated
H021	mutated
H028	mutated
H029	mutated
H031	mutated
H033	mutated
H035	mutated
H036	mutated
H037	mutated
H038	mutated
H039	mutated
H040	mutated
H041	mutated
H046	mutated
H049	mutated
H053	mutated
H054	mutated
H055	mutated
H056	mutated
H057	mutated
H058	mutated
H059	mutated
H062	mutated
H063	mutated
H073	mutated
H081	mutated
H082	mutated
H084	mutated
H088	mutated
H089	mutated
H090	mutated
H094	mutated
H099	mutated
H100	mutated
H101	mutated
H103	mutated
H105	mutated
H108	mutated
H110	mutated
H113	mutated
H115	mutated
H118	mutated
H135	mutated
H163	mutated
H169	mutated
H173	mutated
H192	mutated
H194	mutated
H225	mutated
H236	mutated
H240	mutated
H247	mutated
H266	mutated
H270	mutated
H271	mutated
H010	unmutated
H012	unmutated
H013	unmutated
H014	unmutated
H015	unmutated
H017	unmutated
H019	unmutated
H023	unmutated
H027	unmutated
H030	unmutated
H042	unmutated
H043	unmutated
H044	unmutated
H045	unmutated
H047	unmutated
H048	unmutated
H051	unmutated
H060	unmutated
H065	unmutated
H066	unmutated
H069	unmutated
H072	unmutated
H077	unmutated
H078	unmutated
H079	unmutated
H080	unmutated
H093	unmutated
H095	unmutated
H102	unmutated
H104	unmutated
H107	unmutated
H109	unmutated
H111	unmutated
H117	unmutated
H148	unmutated
H164	unmutated
H165	unmutated
H167	unmutated
H171	unmutated
H187	unmutated
H228	unmutated
H231	unmutated
H233	unmutated
H234	unmutated
H238	unmutated
H239	unmutated
H242	unmutated
H243	unmutated
H246	unmutated
H249	unmutated
H255	unmutated
H257	unmutated
H260	unmutated
H265	unmutated
H272	unmutated
